time,weight_grams,stems,time_dt,time_num
2026-04-12T12:40:00,1210,1,2026-04-12 12:40:00,20555.527777777777
2026-04-13T14:31:00,1140,1,2026-04-13 14:31:00,20556.60486111111
2026-04-13T14:42:00,1490,1,2026-04-13 14:42:00,20556.6125
2026-04-14T11:23:00,1440,1,2026-04-14 11:23:00,20557.474305555555
2026-04-15T13:34:00,1375,1,2026-04-15 13:34:00,20558.56527777778
2026-04-16T06:54:00,1315,1,2026-04-16 06:54:00,20559.2875
